"","id_deputado","receita_total_eleicoes","tipo_receita","nome_parlamentar","uf","partido_atual","profissao","total_bens","tipo_bem","total_despesas_eleicoes","id_municipio","votos","anos","mandatos","causa_fimdescr"
"564",74347,,,"Deusdeth Antônio Corrêa Pantoja","PA","PFL",436,,,,,,,,
"565",74348,,,"Valdir Ganzer","PA","PT",436,,,,,,,,
"566",74349,,,"João Batista Oliveira De Araujo","PA","PT",436,,,,,,,,
"567",74350,,,"Jorge Costa","",,436,,,,,,,,
"568",74351,629011.5,"RECURSOS DE PESSOAS FÍSICAS","Josué Bengtson","PA","PTB",108,2508820.78,12,628972.44,150475,22,,1,""
"569",74352,811175.3,"RECURSOS DE PESSOAS JURÍDICAS","Nilson Pinto","PA","PSDB",81,289662.04,11,811175.3,150475,7,,2,"Secretário de Estado"
"570",74353,,,"Renildo Leal Santos","PA","PMDB",436,,,,,,,,
"571",74354,1096932.32,"RECURSOS DE PESSOAS FÍSICAS","Zenaldo Coutinho","PA","PSDB",199,1125192.21,11,1096932.32,150475,10,1.00479123887748,3,"Secretário de Estado"
"572",74355,,,"Francisco Garcia Rodrigues","AM","PFL",436,,,,,,,,
"573",74356,317950.45,"RECURSOS PRÓPRIOS","Silas Câmara","AM","PSD",399,741931.61,2,317950.45,1300029,1444,,1,""
"574",74357,,,"Vanessa Grazziotin","AM","PCDOB",332,,,,,,3.99726214921287,1,"Término da Legislatura"
"575",74358,,,"Agnaldo Muniz","RO","PSC",199,,,,,,,1,""
"576",74359,523794.56,"RECURSOS PRÓPRIOS","Nilton Capixaba","RO","PTB",399,,,523779.98,1100015,1758,,1,""
"577",74360,,,"Sérgio Siqueira De Carvalho","RO","PSDB",436,,,,,,,,
"578",74361,,,"Hildebrando Pascoal","","PFL",436,,,,,,,,
"579",74362,,,"Ildefonço Cordeiro","",,436,,,,,,,,
"580",74363,327662.2,"RECURSOS PRÓPRIOS","Marcio Bittar","AC","PSDB",367,2360336,12,327662.2,1200013,844,,1,""
"581",74364,,,"Marcos Afonso Pontes De Souza","AC","PT",436,,,,,,,,
"582",74365,,,"Nilson Mourão","AC","PT",130,,,,,,3.99726214921287,1,"Término da Legislatura"
