id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
73692,Osmar Gasparini Terra,M,RS,PMDB,196,26,Superior completo,PMDB,E,1950-02-18,,1999,,1055208.4100000043,10075.909999999996,1037747.6500000037
73693,Reinaldo Gripp,,RJ,PL,436,,,,,,,1999,,0,0,0
73696,Angela Regina Heinzen Amin Helou,F,SC,PP,284,,,,E,1947-12-20,,1991,,514008.98999999993,10280.17,503728.82000000053
73701,Benedita Souza Da Silva Sampaio,F,RJ,PT,352,59,Superior completo,PT,E,1942-04-26,,1991,,763589.7899999998,4401.06,753637.2200000007
73716,Leomar De Melo Quintanilha,M,TO,PMDB,0,101,Superior completo,PMDB,S,1945-10-23,,1991,,60854.06999999995,94.24,60759.82999999996
73718,Sigmaringa Seixas,,,,436,,,,,,,1991,,0,0,0
73758,Flávio Augusto Coelho Derzi,,MS,PPB,436,,,,,,,1991,,0,0,0
73760,Marisa Joaquina Monteiro Serrano,,MS,PSDB,436,,,,,,,1995,,0,0,0
73761,Nelson Trad,M,MS,PMDB,290,,,,E,1930-10-30,,1991,,568427.289999999,13530.72,554896.5699999993
73762,Oscar Goldoni,,,PDT,436,,,,,,,1995,,0,0,0
73764,Abelardo Luiz Lupion Mello,M,PR,DEM,27,26,Superior incompleto,DEM,E,1952-08-25,,1991,,1519234.1100000027,10011.610000000002,1509222.500000001
73765,Affonso Alves De Camargo Neto,M,PR,PSDB,201,26,Superior completo,PSDB,E,1929-04-30,,1995,,295786.8499999998,3467.759999999997,292319.0899999996
73767,Basilio Villani,,PR,PPB,436,160,Ensino médio completo,PSL,,1959-12-16,,1991,,0,0,0
73768,Dilceu João Sperafico,M,PR,PP,202,26,Superior completo,PP,E,1948-01-26,,1995,,1311564.7799999998,4315.930000000002,1306798.8499999996
73769,Elias Abrahão,,PR,PMDB,436,,,,,,,1995,,0,0,0
73771,Flavio Arns,,PR,PSDB,436,228,Superior completo,PSB,,1954-01-05,,1991,,0,0,0
73772,Hermes Parcianello,M,PR,PMDB,303,303,Superior completo,PMDB,E,1958-04-25,,1995,,1288168.2099999986,18250.120000000003,1234938.5200000003
73773,Homero Oguido,,,,436,,,,,,,1991,,0,0,0
73775,Jose Borba,,PR,PTB,436,,,,,,,1995,,0,0,0
73776,José Mohamed Janene,,PR,PPB,436,,,,,,,1995,,0,0,0
73777,Luciano Pizzatto,M,PR,DEM,0,398,Superior completo,DEM,S,1957-03-23,,1991,,45739.590000000004,2668.95,43070.64000000001
73778,Luiz Carlos Jorge Hauly,M,PR,PSDB,187,26,Superior completo,PSDB,E,1950-10-08,,1991,,502956.7399999989,4557.330000000003,498399.40999999933
73780,Max Rosenmann,M,PR,PMDB,225,,,,V,1944-11-29,2008-10-25,1991,,0,0,0
73781,Nelson Meurer,M,PR,PP,367,26,Ensino fundamental completo,PP,E,1942-07-23,,1995,,1519412.629999988,20595.75,1490816.8799999903
73782,Odilio Balbinotti,M,PR,PMDB,27,17,Superior incompleto,PMDB,E,1941-06-08,,1995,,1033310.859999998,11234.789999999999,1022076.0699999988
73783,Roque Zimmermann,,PR,PT,436,,,,,,,1995,,0,0,0
73784,Paulo Bernardo,,PR,PT,436,228,Superior completo,PSB,,1954-01-05,,1991,,0,0,0
73786,Reinhold Stephanes,M,PR,PSD,45,26,Superior completo,PMDB,L,1939-08-13,,1991,2011-10-26,741972.9900000003,3408.72,727332.5300000001
73788,Ricardo José Magalhães Barros,M,PR,PP,68,,,,L,1959-11-15,,1995,,469146.0099999973,3412.8399999999997,465733.16999999754
73790,Valdomiro Meger,,,,436,,,,,,,1995,,0,0,0
73791,Vilson Santini,,,,436,,,,,,,1995,,0,0,0
